,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
0,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
427,えいかきねんこらほまんかいなたんよろすやきやくけきしよう/映画記念コラボまんが イナ×ダン萬屋GAG劇場,よろすや ふしみのすけ/萬屋不死身之介,－,2012.11,2013.01,－
428,まきましかるきやくかくえん/マギ まじかるギャグ学園,かわもと けもん/河本けもん,おおたか しのふ/大高忍,2012.11,2013.01,－
429,そそそそんひいくん/ゾゾゾ ゾンビ〜くん,なかとし やすなり/ながとしやすなり,－,2012.12,5000、ソート用連載中,－
430,ようかいうおつち/妖怪ウォッチ,こにし のりゆき/小西紀行,－,2013.01,5000、ソート用連載中,－
431,とらえもんのひたのひみつとうくみゆうしあむ/ドラえもん のび太のひみつ道具博物館,ふしこふろ/藤子プロ,－,2013.02,2013.04,－
432,へんきんのもんたいふらす/ペンギンの問題+,なかい ゆうし/永井ゆうじ,－,2013.02,2014.11,－
433,たんほおるせんきうおおす/ダンボール戦機ウォーズ,ふしい ひてあき/藤異秀明,－,2013.04,2013.11,－
434,けきしようはんほけつともんすたあへすとういつしゆしんそくのけのせくとみゆうつうかくせい/劇場版ポケットモンスター ベストウイッシュ 神速のゲノセクト ミュウツー覚醒,いのうえ ももた/井上桃太,－,2013.05,2013.07,－
435,たんちともおよんこまこうえん/団地ともお 4コマ公園,まえたくん/まえだくん,おた とひら/小田扉,2013.09,2014.02,－
436,とひたせとうふつのもり/とびだせ どうぶつの森,こおへえ/コーヘー,－,2013.09,2013.10,『別冊コロコロコミック』に移動
437,ふにゆふにゆゆうしやみやめみやめ/ぷにゅぷにゅ勇者 ミャメミャメ,かしもと まなう/かしもとまなヴ,－,2013.10,2015.10,－
438,かんたむひるとふあいたあすふらもたいはあきつとあんとひると/ガンダムビルドファイターズ プラモダイバー キット&ビルト,かわもと けもん/河本けもん,－,2013.11,2014.04,－
439,ほけつともんすたあえつくすわいほけもんりゆうおうてん/ポケットモンスターX・Y ポケモン竜王伝,いしい たかし/石井敬士,－,2013.11,2014.03,－
440,ひいろおはんく/ヒーローバンク,いはら しけかつ/伊原しげかつ,－,2013.11,2015.04,－
441,はすとらせつと/パズドラZ,いのうえ ももた/井上桃太,－,2013.12,2015.07,－
442,ふゆうちやあかあとはていふあいと/フューチャーカード バディファイト,たむら みつひさ/田村光久,－,2013.12,5000、ソート用連載中,－
443,かせきほりたあむけんきあ/カセキホリダー ムゲンギア,たかえた けいすい/高枝景水,－,2014.01,2014.10,－
444,ひやつはあたよふなつしい/ヒャッハーだよ♪ ふなっしー,まえたくん/まえだくん,－,2014.03,2016.03,『ちゃお』に移動
445,てゆえるますたあすはあさす/デュエル・マスターズ VS,まつもと しけのふ/松本しげのぶ,－,2014.04,2017.02,－
446,ほけもんさむうひいえつくすわいはかいのまゆとていあんしい/ポケモン・ザ・ムービー XY 破壊の繭とディアンシー,きたむら けんし/北村謙次,－,2014.05,2014.07,－
447,おれかはとるおれかもんすたあすほうけんれつてんきようおうのしんしつへん/オレカバトル オレカモンスターズ冒険烈伝 〜狂王の真実編〜,てみす ほすか/出水ぽすか,－,2014.06,2014.07,－
448,えいかようかいうおつちたんしようのひみつたにやん/映画妖怪ウォッチ 誕生の秘密だニャン!,こにし のりゆき/小西紀行,－,2014.10,2015.01,－
449,ひやくはあせんとはすかるせんせい/100%パスカル先生,なかい ゆうし/永井ゆうじ,－,2015.02,5000、ソート用連載中,－
450,まおうたせつおれかはとる/魔王だゼッ!! オレカバトル,てみす ほすか/出水ぽすか,－,2015.04,2015.12,－
451,ようかいうおつちはすたあす/妖怪ウォッチバスターズ,おおは あつし/おおばあつし,－,2015.06,2015.09,－
452,しんこうちゆうおうしやむしきんく/新甲虫王者ムシキング,いしい しゆんのすけ/石井じゅんのすけ,－,2015.08,2015.09,－
453,へいふれえとはあすと/ベイブレードバースト,もりた ひろ/森多ヒロ,－,2015.08,5000、ソート用連載中,－
454,やきゆうのほしめつとまん/野球の星 メットマン,むきわら しんたろう/むぎわらしんたろう,－,2015.09,5000、ソート用連載中,－
455,かんはかんはとなかまたち/GAMBA ガンバと仲間たち,せと かすよし/瀬戸カズヨシ,－,2015.10,2015.11,－
456,えいかようかいうおつちえんまたいおうといつつのものかたりたにやん/映画妖怪ウォッチ エンマ大王と5つの物語だニャン!,こにし のりゆき/小西紀行,－,2015.10,2016.01,－
457,けきれえさあそうたろう/激レーサー 走太郎,おおは あつし/おおばあつし,－,2016.01,2017.02,－
458,ましてましめくん/マジで!!まじめくん!,つちた しんのすけ/土田しんのすけ,－,2016.03,5000、ソート用連載中,『別冊コロコロコミック』から移動
